topic,student_id,writing_id,group,is_cii,cor_sent,cor_if_head,cor_if_head_lemma,cor_main_head,cor_main_aux
59,27932,358374,lower,True,If I had a time in this August I would make a Italian courses in Florence.,had,have,make,would
59,130910,363464,lower,True,"The first dream is if I won a lottery, I would like to travel around the world, I would like to see the Egyptian Pyramids and the polar lights in Finland.",won,win,like,would
59,159249,36938,lower,True,"If I won a million, I would like to fly to egypt and swim in the sea, I would visit China, I would learn another language, I would like to buy a big house.",won,win,like,would
59,159249,36938,lower,True,If I had a long vacation I would visit all the islands around the world.,had,have,visit,would
59,163664,395205,lower,True,"If I had a part time job, this dream would come true.",had,have,come,would
59,163664,395205,lower,True,"If I had enough money, I could travel more.",had,have,travel,could
59,78383,399999,lower,True,"If I had one day or better one month to live, I would travel around the world.",had,have,travel,would
59,78383,399999,lower,True,"Maybe, if I won a lottery a lot of money, I would spend it for charity and my daughters' education.",won,win,spend,would
59,147677,401670,lower,True,"If I had facilities like extra time and more money, I'd learn three languages; Italian, English and French.",had,have,learn,'d
59,96143,4083,lower,True,If I won money I would give a part to poor people in the world and this money could help us and improve their life.,won,win,give,would
59,96143,4083,lower,True,If I had a great house I would invite my family in holiday it would be great!,had,have,invite,would
59,17906,412454,lower,True,"If I won millions of US dollars, I would like to arrange a luxury trip with my family, then I would like to build my own resort in the east of Taiwan and create some charities for children there.",won,win,like,would
59,90897,424290,lower,True,"If I won the jackpot, I would quit my job immediately and travel the whole world.",won,win,quit,would
59,146478,427657,lower,True,"If I won the lottery, I'd quit my job, then I would buy a new house and travel around the world.",won,win,quit,'d
59,47453,44143,lower,True,"If I had a lot of money, I'd travel to many countries e know about the cultures.",had,have,travel,'d
59,47453,44143,lower,True,I 'm going to learn the second language (English) and If I wanted I'd start a third language.,wanted,want,going,'m
59,132071,441926,lower,True,"If I spoke fluently, I would like to travel all over the world.",spoke,speak,like,would
59,95107,443049,lower,True,"I have a lot of dreams, but there are some special ones; if I had more money, I would like to visit New York city.",had,have,have,
59,138491,443436,lower,True,"If I had more money, I would liketo travel around the world.",had,have,liketo,would
