topic,student_id,writing_id,group,is_cii,cor_sent,cor_if_head,cor_if_head_lemma,cor_main_head,cor_main_aux
46,151197,1083861,lower,False,When you destroy all of them you win but if they shoot you and destroy your plane you lose the game.,shoot,shoot,win,
46,91548,1084131,lower,False,"If you hold your finger for one second, your spaceship files.",hold,hold,hold,
46,91548,1084131,lower,False,"If you hold it for two, your spaceship shoots.",hold,hold,shoots,
46,91548,1084131,lower,False,"If you hold your finger a long time, you get the Door of Destruction: A special door opens and destroys 50 aliens.",hold,hold,get,
46,9361,1085257,lower,False,"If the first player has in his hands the same card that is in front at the second player, he can take his card.",has,have,take,can
46,25113,1085608,lower,False,"If it's too difficult, he is allowed to ask from one person, hidden to whistle.",difficult,difficult,allowed,is
46,25113,1085608,lower,False,"If he doesn't find anyone, he loses.",find,find,loses,
46,93197,1086180,lower,False,"If you hold your finger for one second, your spaceship flies.",hold,hold,flies,
46,93197,1086180,lower,False,"If you hold it for two, your spaceship shoots.",hold,hold,shoots,
46,93197,1086180,lower,False,"If you hold your finger a long time, you get the Door of Destruction: A special door opens and destroys 50 aliens.",hold,hold,get,
46,53114,1086333,lower,False,If you have a good game you can increase your money and try scaring other players.,have,have,increase,can
46,34146,1087104,lower,False,If in a match a player receives two yellow cards the referee must expel him.,receives,receive,expel,must
46,116023,1088926,lower,False,"If the pair to get fool the another pair, is possible to win in the first round.",get,get,get,
46,23283,108903,lower,False,If you follow this plan you'll fight this problem.,follow,follow,fight,'ll
46,54257,1089165,lower,False,"For example, if you fill the first number is one at left straight line, this straight line is not allowed to appear one.",fill,fill,allowed,is
46,159165,1089528,lower,False,"If you hold your finger for one second, your spaceship flies.",hold,hold,flies,
46,159165,1089528,lower,False,"If you hold it for two, your spaceship shoots.",hold,hold,shoots,
46,159165,1089528,lower,False,"If you hold your finger a long time, you get the Door of Destruction: A special door opens and destroys 40 aliens.",hold,hold,get,
46,141050,1089922,lower,False,"If you lose, you have to wait for 30 minutes to load other lives.",lose,lose,have,
46,37841,1090533,lower,False,"If you defeat the others kingdoms, you win the game.",defeat,defeat,win,
46,60738,1092305,lower,False,"If you hold your finger for one second, your spaceship flies.",hold,hold,flies,
46,60738,1092305,lower,False,"If you hold it for two, your spaceship shoots.",hold,hold,shoots,
46,60738,1092305,lower,False,"If you hold your finger for a long time, you get the Door of Destruction: A special door opens and destroys 50 aliens.",hold,hold,get,
46,53570,10924,lower,False,"If you go to a support group, many people will help you.",go,go,help,will
46,59654,1093120,lower,False,"If not, then you have to take a new card.",not,not,have,
46,70411,109352,lower,False,"If you go to a support group, many people will help you.",go,go,help,will
46,3605,1095801,lower,False,"If the player successfully shoots from outside of the 3 points line, the basket is worth 3 points, otherwise it is worth 2 points.",shoots,shoot,shoots,
46,86649,1095868,lower,False,"If he says 'Tuesday,' the next player has to say a word that starts with 'y,' like 'yellow.'",says,say,has,
46,65345,1096379,lower,False,"If you guess, you will get 1 point.",guess,guess,get,will
46,121950,1097620,lower,False,"If you stepped on a landmine, then game over, numbers and blanks are safe areas that you can step on.",stepped,step,stepped,
46,121950,1097620,lower,False,"But if you marked wrong and it's not a landmine, then game over.",marked,mark,marked,
46,18492,1097781,lower,False,"One you show an 'A' plus the number of the right answers, and if only the numbers' right, but the order is wrong, you show a 'B' plus the number of the answers.",right,right,show,
46,80257,1098292,lower,False,"The most important thing the players have to do is to kill the zombies to avoid their entry into house because if it happens, the game will be over.",happens,happen,kill,
46,80257,1098292,lower,False,They are not allowed to go to the next level if they can't kill all the zombies in this level.,kill,kill,allowed,are
46,37894,1098568,lower,False,"For example, if the four cards show 5, 3, 2 and 10, you can say 210=12, 5-3=2, 122=24.",show,show,say,can
46,167646,1098990,lower,False,"If you take a card you also have to give a card and you need to match cards, for example this card goes with the same card.",take,take,have,
46,52632,1099467,lower,False,You're allowed to root the plant (if you choose the wrong kind or the location isn't very good) out with a shovel.,choose,choose,allowed,'re
